customer_id,recency,frequency,monetary,avg_order_val,n_items,tenure_days,return_rate,satisfaction_flag,dependency_score,promo_orders,n_orders,value_tier,loyal_defA,loyal_defB,R_score,F_score,M_score,RFM_score,RFM_total,segment
12346,326,1,77183.6,77183.6,1,326,0.49999999999999667,0,0.0,0.0,1,High,1,0,1,1,5,115,7,Lost
12347,2,7,4310.0,615.7142857142857,103,367,0.0,1,0.2857,2.0,7,High,1,1,5,5,5,555,15,Champions
12348,75,4,1437.24,359.31,21,358,0.0,1,0.25,1.0,4,High,1,1,2,4,4,244,10,Loyal Customers
12349,19,1,1457.55,1457.55,72,19,0.0,0,1.0,1.0,1,High,0,0,4,1,4,414,9,Potential Loyalists
12350,310,1,294.4,294.4,16,310,0.0,0,0.0,0.0,1,Low,0,0,1,1,2,112,4,Lost
12352,36,7,1385.74,197.96285714285713,57,297,0.1069609507638252,0,0.1429,1.0,7,High,1,1,3,5,4,354,12,Loyal Customers
12353,204,1,89.0,89.0,4,204,0.0,0,0.0,0.0,1,Low,0,0,1,1,1,111,3,Lost
12354,232,1,1079.4,1079.4,58,232,0.0,0,0.0,0.0,1,Mid,0,0,1,1,4,114,6,Lost
12355,214,1,459.4,459.4,13,214,0.0,0,0.0,0.0,1,Mid,0,0,1,1,2,112,4,Lost
12356,23,3,2487.43,829.1433333333333,52,326,0.0,1,0.3333,1.0,3,High,1,1,4,3,5,435,12,Loyal Customers
12357,33,1,6207.67,6207.67,131,33,0.0,0,1.0,1.0,1,High,0,0,4,1,5,415,10,Potential Loyalists
12358,2,2,928.0600000000001,464.03000000000003,12,151,0.0,1,0.5,1.0,2,Mid,0,1,5,2,4,524,11,Potential Loyalists
12359,58,4,6372.58,1593.145,214,332,0.006127450980388402,0,0.0,0.0,4,High,1,1,3,4,5,345,12,Loyal Customers
12360,52,3,2302.06,767.3533333333334,104,201,0.0,1,0.0,0.0,3,High,1,1,3,3,5,335,11,Loyal Customers
12361,287,1,174.9,174.9,9,287,0.0,0,0.0,0.0,1,Low,0,0,1,1,1,111,3,Lost
12362,3,10,4737.23,473.72299999999996,200,296,0.00767841011743104,0,0.2,2.0,10,High,1,1,5,5,5,555,15,Champions
12363,110,2,552.0,276.0,23,242,0.0,1,0.0,0.0,2,Mid,0,0,2,2,3,223,7,Need Attention
12364,8,4,1208.1,302.025,69,112,0.0,1,0.25,1.0,4,High,1,1,5,4,4,544,13,Champions
12365,291,1,320.69,320.69,21,291,0.0,0,0.0,0.0,1,Low,0,0,1,1,2,112,4,Lost
12367,4,1,150.9,150.9,10,4,0.0,0,1.0,1.0,1,Low,0,0,5,1,1,511,7,New Customers
12370,51,4,3425.69,856.4224999999999,142,360,0.0,1,0.5,2.0,4,High,0,1,3,4,5,345,12,Loyal Customers
12371,60,1,1527.96,1527.96,62,60,0.0,0,0.0,0.0,1,High,1,0,3,1,4,314,8,Potential Loyalists
12372,72,3,1196.04,398.68,33,297,0.0,1,0.0,0.0,3,High,1,1,3,3,4,334,10,Loyal Customers
12373,311,1,324.6,324.6,13,311,0.0,0,0.0,0.0,1,Low,0,0,1,1,2,112,4,Lost
12374,25,1,622.93,622.93,32,25,0.0,0,1.0,1.0,1,Mid,0,0,4,1,3,413,8,Potential Loyalists
12375,11,2,377.5,188.75,13,98,0.005649717514092375,0,0.5,1.0,2,Low,0,1,5,2,2,522,9,New Customers
12377,315,2,1548.12,774.06,71,355,0.0,1,0.5,1.0,2,High,0,0,1,2,4,124,7,Need Attention
12378,130,1,4008.62,4008.62,219,130,0.0,0,0.0,0.0,1,High,1,0,2,1,5,215,8,Lost
12379,82,2,777.24,388.62,38,170,0.0024813895781576143,1,0.0,0.0,2,Mid,0,1,2,2,3,223,7,Need Attention
12380,22,4,2427.81,606.9525,76,186,0.0009000900090000899,1,0.25,1.0,4,High,1,1,4,4,5,445,13,Champions
12381,5,3,1474.81,491.6033333333333,69,120,0.030413625304099252,0,0.6667,2.0,3,High,0,1,5,3,4,534,12,Loyal Customers
12383,185,5,1628.56,325.712,83,352,0.0019723865877699065,1,0.2,1.0,5,High,1,0,1,4,4,144,9,At Risk
12384,29,2,425.27000000000004,212.635,25,122,0.03937007873984748,0,0.5,1.0,2,Mid,0,1,4,2,2,422,8,New Customers
12386,338,2,401.9,200.95,10,367,0.0,1,0.5,1.0,2,Mid,0,0,1,2,2,122,5,Need Attention
12388,16,6,2780.66,463.4433333333333,57,327,0.0,1,0.1667,1.0,6,High,1,1,4,5,5,455,14,Champions
12390,80,1,504.84000000000003,504.84000000000003,31,80,0.0,0,0.0,0.0,1,Mid,0,0,2,1,3,213,6,Lost
12391,22,1,460.89,460.89,92,22,0.0,0,1.0,1.0,1,Mid,0,0,4,1,2,412,7,New Customers
